X,Y,DATA,ORA,LUOGO,Incidenti,lon,lat
13.3348664026654,38.1299848256676,11/01/2016,14.250000000000000,VIALE LEONARDO DA VINCI intersezione VIA PACINOTTI,C,13.334866,38.129985
13.3660722833809,38.1083536244473,11/01/2016,19.449999999999999,VIA ORETO intersezione con VIA ERRANTE VINCENZO,C,13.366072,38.108354
13.3767358595244,38.091883911918,11/01/2016,22.250000000000000,VIALE REGIONE SICILIANA S.E. carr. centrale ROT. ORETO,F,13.376736,38.091884
13.4229568121358,38.0863314834446,11/01/2016,22.449999999999999,VIALE REGIONE SICILIANA S.E. altezza (inters.) CORSO,F,13.422957,38.086331
13.3682500719226,38.1114568845474,12/01/2016,5.400000000000000,CORSO DEI MILLE intersezione con VIA LINCOLN,F,13.368250,38.111457
13.353726520654,38.1273760424207,11/01/2016,5.150000000000000,VIA DELLA LIBERTA' altezza del civico 31,C,13.353727,38.127376
13.3343421525316,38.192643853481,12/01/2016,14.150000000000000,VIALE ORFEO intersezione con VIALE PRINCIPESSA,F,13.334342,38.192644
13.3220094258232,38.1254762343361,12/01/2016,15.050000000000001,VIA MAIORANA ANGELO altezza del civico 2,C,13.322009,38.125476
13.3606527943474,38.1298610264456,04/01/2016,13.000000000000000,VIA CRISPI FRANCESCO nr. 260,C,13.360653,38.129861
13.3181989969245,38.0971432496629,12/01/2016,18.430000000000000,VIA PARUTA FILIPPO di fronte al civico civ. 25,C,13.318199,38.097143
13.3532247051147,38.1151852584556,12/01/2016,22.300000000000001,VIA PAPIRETO intersezione PIAZZA PERANNI DOMENICO,C,13.353225,38.115185
13.371317793102,38.1196910796852,13/01/2016,1.500000000000000,FORO UMBERTO I altezza (inters.) VIA VITTORIO,F,13.371318,38.119691
13.3617728713599,38.1149713801937,13/01/2016,4.000000000000000,VIA MAQUEDA altezza (inters.) VIA D'ALESSI GIUSEPPE,R,13.361773,38.114971
13.3778675454571,38.1128968087834,13/01/2016,7.100000000000000,VIA TIRO A SEGNO intersezione con PIAZZA TONNARAZZA,F,13.377868,38.112897
13.3554933816097,38.1076112039834,13/01/2016,10.199999999999999,VIA LODATO GAETANO altezza del civico 35,C,13.355493,38.107611
13.3322111250106,38.1283520871069,13/01/2016,12.029999999999999,VIA MIGLIACCIO MARIANO intersezione con VIA LANCIA DI,F,13.332211,38.128352
13.3586394523879,38.1341765112494,13/01/2016,12.350000000000000,VIA GIACHERY CARLO in prossimità di STAZ.METRO,F,13.358639,38.134177
13.3853320624889,38.1064571787865,13/01/2016,14.100000000000000,VIA MESSINA MARINE altezza del civico 193,F,13.385332,38.106457
13.3030455128236,38.1315568855015,13/01/2016,14.199999999999999,VIALE CALTAGIRONE intersezione con VIA ACIREALE,F,13.303046,38.131557
13.3306627911026,38.1126859066293,13/01/2016,15.300000000000001,VIA PALCHETTO altezza del civico 36,C,13.330663,38.112686
13.3207620956527,38.1629645997377,08/01/2016,13.100000000000000,VIALE STRASBURGO altezza del civico 379,F,13.320762,38.162965
13.3097620761422,38.1232910024366,12/01/2016,14.000000000000000,VIA TUCCI FRANCESCO intersezione VIA ROCCAZZO,C,13.309762,38.123291
13.3440442119527,38.1393425095998,13/01/2016,16.000000000000000,VIA DI BLASI FRANCESCO PAOLO intersezione con VIA,F,13.344044,38.139343
13.32732303342,38.1280843052019,13/01/2016,18.000000000000000,VIALE LEONARDO DA VINCI intersezione con VIA UDITORE,F,13.327323,38.128084
