X,Y,id,ANNO,MESE,GIORNO,ORA,STRADA_1,MESE_1,GIORNO_1,DATA,ORA_1,STRADA,CIVICO,STRADA_2,TIPO_VA,TIPO_VB
11.2864550020216,43.78168963559,416037,2011,GIUGNO,VENERDI',15.30,VLE MANFREDO FANTI,GIUGNO,VENERDÌ,2011/06/03,15.30,VLE MANFREDO FANTI,,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2323033780987,43.7988934606868,415052,2011,APRILE,MARTEDI',16.30,VIA MAGELLANO,APRILE,MARTEDÌ,2011/04/12,16.30,VIA MAGELLANO,11,,VELOCIPEDE,MOTOCICLO A SOLO
11.2563283924662,43.7746727978144,417050,2011,AGOSTO,LUNEDI',10.30,VIA DE' PUCCI,AGOSTO,LUNEDÌ,2011/08/08,10.30,VIA DE' PUCCI,6,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2579066216204,43.7782314979289,415036,2011,APRILE,LUNEDI',15.00,VIA DEGLI ARAZZIERI,APRILE,LUNEDÌ,2011/04/11,15.00,VIA DEGLI ARAZZIERI,4,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2401425771704,43.7861850508047,416554,2011,LUGLIO,DOMENICA,01.45,VLE FRANCESCO REDI,LUGLIO,DOMENICA,2011/07/10,01.45,VLE FRANCESCO REDI,,VLE CORSICA,VELOCIPEDE,AUTOVETTURA PRIVATA
11.241041690513,43.7966322845085,415928,2011,GIUGNO,VENERDI',15.00,VLE GIOVAN B. MORGAGNI,GIUGNO,VENERDÌ,2011/06/03,15.00,VLE GIOVAN B. MORGAGNI,2/B,,VELOCIPEDE,MOTOCICLO A SOLO
11.2387004956345,43.78076091428,418377,2011,OTTOBRE,SABATO,16.15,VIA DEL PONTE ALLE MOSSE,OTTOBRE,SABATO,2011/10/01,16.15,VIA DEL PONTE ALLE MOSSE,63,,VELOCIPEDE,AUTO IN SOSTA
11.2798831577935,43.7624423001146,415519,2011,MAGGIO,VENERDI',11.20,VIA COLUCCIO SALUTATI,MAGGIO,VENERDÌ,2011/05/06,11.20,VIA COLUCCIO SALUTATI,53,,AUTOVETTURA PRIVATA,VELOCIPEDE
11.1845350349155,43.8027962196726,417055,2011,AGOSTO,LUNEDI',23.20,VIA SAN PIERO A QUARACCHI,AGOSTO,LUNEDÌ,2011/08/08,23.20,VIA SAN PIERO A QUARACCHI,264 A,,MOTOCICLO A SOLO,VELOCIPEDE
11.1884437266401,43.794134988023,417017,2011,AGOSTO,VENERDI',23.10,VIA PISTOIESE,AGOSTO,VENERDÌ,2011/08/05,23.10,VIA PISTOIESE,140/e,,VELOCIPEDE,VELOCIPEDE
11.2663393757269,43.7740037405795,415667,2011,MAGGIO,LUNEDI',14.35,PZA MASSIMO D'AZEGLIO,MAGGIO,LUNEDÌ,2011/05/16,14.35,PZA MASSIMO D'AZEGLIO,,,CICLOMOTORE,VELOCIPEDE
11.2293609796191,43.7755394750434,417125,2011,AGOSTO,MARTEDI',17.45,LNO DEL PIGNONE,AGOSTO,MARTEDÌ,2011/08/16,17.45,LNO DEL PIGNONE,,PZA PAOLO UCCELLO,VELOCIPEDE,
